sutra_name,primary_category,safety_level,target_dosha,advice_type,"content (Sutra, Meaning, and Key Analysis)"
Dental Hygiene (Dantadhāvana),Dinacharya,LOW,General,Lifestyle/Preventive,"Sutra: अर्कन्यग्रोधखदिरकरन्ज ककु भादिजम्.... Meaning: Dental sticks from trees like Arka, Nyagrodha, Khadira, etc., should be used. The stick should be astringent (Kaṣāya), pungent (Kaṭu), or bitter (Tikta) in taste, 12 Angulas long, and the thickness of the little finger."
Contraindications for Dantadhāvana,Dinacharya,HIGH,General,Lifestyle/Preventive,"Sutra: नाद्यादजीर्णणमयुश्वासकासज्वरार्दिती । तृष्णा ऽऽस्यपाकहन्नेत्रशिरः कर्णामयीच तत्. Meaning: Dental brushing should not be performed by persons suffering from Indigestion (Ajīrṇa), Vomiting, Dyspnea, Cough, Fever, Facial Paralysis, Thirst, Stomatitis, Heart Disease, Eye Disease, Headache, and Ear Disease. Analysis: Brushing increases salivation, which aids digestion and cleanses the stomach; in these diseases, this is counter-productive."
Application of Collyrium (Anjana),Dinacharya,LOW,Kapha_Pacifying,Lifestyle/Preventive,"Sutra: सौवीरमन्जनं नित्यं हितमक्ष्णोस्ततो भजेत्.... Meaning: One should apply Sauvīra Añjana (Collyrium/Surma) daily, as the eyes (fiery/Āgneya) are threatened by Kapha (Śleṣmā). Rasāñjana should be applied once every seven nights to promote more discharge (Kapha flow)."
Oil Massage (Abhyaṅga),Dinacharya,LOW,Vāta_Pacifying,Lifestyle/Preventive,"Sutra: अभ्यडं. गमाचरे नित्यं स जराश्रमवातहा.... Meaning: Oil massage must be performed daily. It prevents aging, removes fatigue (Śrama), pacifies Vāta, and promotes longevity. It should be specially practiced on the head (Śiras), ears (Śravaṇa), and feet (Pāda). Analysis: Oil massage on the head destroys Kapha (hot/subtle oil); in the ears, it balances Vāyu; on the feet, it prevents cracked heels from Vāyu dryness."
Contraindications for Abhyanga,Dinacharya,HIGH,"Kapha_Aggravating, General",Lifestyle/Preventive,"Sutra: वर्योडयड़ङ्गः कफग्रस्तकृतसंशृद्धयजार्णिभिः. Meaning: Oil massage should not be performed by those suffering from Kapha-born diseases, those who have undergone purification therapy (Śodhana), or those suffering from Indigestion (Ajīrṇa)."
Benefits of Exercise (Vyāyāma),Dinacharya,LOW,"Kapha_Pacifying, Meda_Reducing",Lifestyle/Preventive,"Sutra: लाघवं कर्मसामर्थ्य दीप्तोऽग्निर्मेदसः क्षयः.... Meaning: Exercise brings lightness (Lāghava), capacity for work, kindles the digestive fire (Dīpto 'Agni), reduces fat tissue (Medas), and strengthens body parts."
Who Should Avoid Exercise,Dinacharya,HIGH,"Vāta_Aggravating, Pitta_Aggravating",Lifestyle/Preventive,"Sutra: वातपित्तामयी बालो वृद्धीऽजीर्णी च तं त्यजेत्. Meaning: Patients suffering from Vāta and Pitta disorders, children (up to age 10), the elderly, and patients with Indigestion (Ajīrṇa) should avoid exercise. Analysis: Exercise increases Vāta and Pitta. In children, it decreases Kapha, which is needed for growth. In Ajīrṇa, it reduces Kapha and causes agitation needed for digestion."
Rules for Exercise,Dinacharya,LOW,General,Lifestyle/Preventive,"Sutra: अर्धशक्तया निषेव्यस्तु बलिभि स्निग्धभोजिभिः.... Meaning: Exercise should be practiced only up to half their capacity (Ardha Śakti) by strong people who consume unctuous foods (Snigdha Bhojinaḥ) like ghee and milk. It should be done during cold season and spring, and less in other seasons. The body should be massaged afterward."
Harms of Excessive Exercise,Dinacharya,HIGH,Vāta_Aggravating,Lifestyle/Preventive,"Sutra: तृष्णा क्षयः प्रतमको रक्तपित्तं श्रमः क्लमः.... Meaning: Excessive exercise causes increased thirst (Tṛṣṇā), tissue wasting (Kṣaya), bleeding disorders (Raktapitta), fatigue, cough, fever, and vomiting."
Ubtan/Body Scrub (Udvartaṇa),Dinacharya,LOW,"Kapha_Pacifying, Meda_Reducing",Lifestyle/Preventive,"Sutra: उद्वर्तनं कफहरं मेदसः प्रविलामनम्. Meaning: Massaging with a scrub (Udvartaṇa) pacifies Kapha, liquefies fat (Medas), strengthens body parts, and makes the skin beautiful."
Benefits of Bathing (Snāna),Dinacharya,LOW,General,Lifestyle/Preventive,"Sutra: दीपनं वृष्यमायुष्यं स्नानमुजबिलप्रदम्.... Meaning: Bathing kindles the digestive fire (Dīpana), is aphrodisiac, increases longevity, and provides energy and strength. It conquers itching, dirt, fatigue, sweat, lethargy, thirst, heat, and sin. Analysis: Pouring warm water over the lower part of the body gives strength, but pouring it over the head destroys the strength of the hair and eyes. Bathing should be done before eating."
Contraindications for Bathing,Dinacharya,HIGH,"Vāta_Aggravating, Pitta_Aggravating",Lifestyle/Preventive,"Sutra: स्नानमर्दित नेत्रास्यकर्व रोगा तिसारिषु.... Meaning: Bathing is prohibited for those suffering from Facial Paralysis (Ardita), Eye diseases, Mouth diseases, Ear diseases, Diarrhea (Atisāra), Indigestion (Ajīrṇa), and after eating (Bhuktavatsu). Analysis: Bathing increases Vāyu (bad for Ardita, ear diseases) and Pitta (bad for eye diseases, Atisāra), and weakens the digestive fire (bad for Ajīrṇa, after eating)."
Rules for Eating and Urges,Dinacharya,LOW,General,Lifestyle/Preventive,"Sutra: जीर्णे हितं भितं चाद्यान्न वेगानीरयेद् बलात्.... Meaning: One should only eat beneficial (Hita) and measured (Mita) food after the previously consumed food has been digested (Jīrṇa). One should not forcefully expel (Udirana) or suppress (Dharana) the natural urges (Vegas) for urine, stool, etc.. Analysis: Defect in digestion is the root cause of all diseases. Forcefully expelling or suppressing urges vitiates Vāyu (Apāna Vāyu)."
Welfare through Dharma,Dinacharya,LOW,General,Theoretical/Principle,"Sutra: सुखार्थाः सर्वभूतानां मताः सर्वाः प्रवृत्तयः । सुखं च न बिना धर्मात्तस्माद्धर्मपरो भवेत्. Meaning: All beings seek happiness (Sukha), which is not possible without Dharma (righteous conduct), so one should always follow Dharma (Virtuous Conduct/Sadvṛtta)."
Non-Suppressible Urges (Adhāraṇīya Vegas),Causes of Diseases,HIGH,General,Theoretical/Principle,"Sutra: वेगान्न धारयेद्वातविण्मूत्रक्षवतृट्क्षुधाम् । निद्राकासश्रमश्वासजृम्भाऽश्रुच्छर्दिरेतसाम्. Meaning: One should not suppress the 13 urges: Flatus (Apāna Vāyu), Stool, Urine, Sneeze, Thirst, Hunger, Sleep, Cough, Exertional Breathlessness, Yawn, Tears, Vomiting, and Semen. Analysis: Suppression causes almost all types of diseases."
Harm from Suppressing Flatus (Apāna Vāyu),Causes of Diseases,HIGH,Vāta_Aggravating,Theoretical/Principle,"Sutra: अधोवातस्य रोधेन गुल्मोदावर्तरूक्‌क्लमाः.... Meaning: Suppressing flatus causes abdominal tumor (Gulma), upward movement of Vāyu (Udāvartta), pain, heart disease (Hṛdgadāḥ), and obstruction of stool and urine. Treatment: Oleation (Sneha), sudation (Svedana), suppositories (Varttī), and food/drinks that facilitate the downward movement of Vāyu (Vātā-nulomana)."
Harm from Suppressing Stool (Śakṛt),Causes of Diseases,HIGH,Vāta_Aggravating,Theoretical/Principle,"Sutra: शकृतः पिण्डिकोद्वेष्टप्रतिश्यायशिरोरूजः.... Meaning: Suppressing stool causes cramps in the calf muscles, coryza, headache, upward movement of Vāyu, obstruction of heart function, and passage of stool through the mouth. Treatment: Suppositories, oil massage below the navel, Vāta-pacifying bath/sudation, enemas (Basti), and food/drink that loosen the stool (Bhedi)."
Harm from Suppressing Urine (Mūtra),Causes of Diseases,HIGH,Vāta_Aggravating,Theoretical/Principle,"Sutra: अछ्रभङ्गाश्मरीवस्तिमेढ्वगंक्षणवेदनाः.... Meaning: Suppressing urine causes breaking pain in the limbs (Aṅga-bhaṅga), stone formation (Aśmarī), and pain in the bladder, urinary organs, and groin. Treatment: Drinking ghee (Ghṛta-pāna) before the meal (Prāg-bhakta) in the Jīrṇāntika dose (when the previous food is fully digested)."
Harm from Suppressing Thirst (Tṛṣṇā),Causes of Diseases,HIGH,Pitta_Aggravating,Theoretical/Principle,"Sutra: शोषाछ्रसादबाधिर्यसम्मोहम्रमहृद्गदाः. Meaning: Suppressing thirst causes dryness of the mouth (Śoṣa), weakness of the limbs, deafness, delusion, dizziness, and heart disease. Treatment: All procedures should involve cold substances (Śītaḥ Sarvo Vidhiḥ Hitaḥ) for bathing, drinking, and food."
Harm from Suppressing Hunger (Kṣudhā),Causes of Diseases,HIGH,Vāta_Aggravating,Theoretical/Principle,"Sutra: प्रगभगारूचिग्लानिकार्श्यशूलभ्रमाः क्षुधः. Meaning: Suppressing hunger causes pain in the limbs (Aṅga-bhaṅga), anorexia, fatigue, emaciation, pain in the colon, and dizziness. Treatment: Consume light (Lagu), unctuous (Snigdha), warm (Uṣṇa), and small quantities of food."
Harm from Suppressing Sleep (Nidrā),Causes of Diseases,HIGH,Kapha_Aggravating,Theoretical/Principle,"Sutra: निद्राया मोहमूर्धाक्षिगौरवालस्यजृम्भिकाः. Meaning: Suppressing sleep causes delusion/mental restlessness (Moha), heaviness in the head and eyes, lethargy, yawning, and pain in the limbs. Treatment: Sleep (Svapna) and body massage (Saṃvāhana) with oil."
Harm from Suppressing Vomiting (Chardi),Causes of Diseases,HIGH,Kapha_Aggravating,Theoretical/Principle,"Sutra: विसर्पकोठकुष्ठाक्षिकण्डूपाण्ड्वामयज्वराः.... Meaning: Suppressing vomiting causes erysipelas (Visarpa), urticarial rashes (Koṭha), skin diseases, fever, cough, shortness of breath, nausea, and swelling all over the body. Treatment: Gargling, medicated smoking, fasting, eating dry food and then inducing vomiting again, exercise, and purgation."
Harm from Suppressing Semen (Śukra),Causes of Diseases,HIGH,Vāta_Aggravating,Theoretical/Principle,"Sutra: शुक्रात्त्स्त्रवणं गृह्मवेदनाश्वयथुज्वराः.... Meaning: Suppressing semen causes excessive discharge, pain and swelling in the penis, fever, heart pain, urinary retention, pain in the limbs, scrotal enlargement, and impotence. Treatment: Consuming milk medicated with bladder-cleansing drugs (e.g., Gōkṣura) and engaging in sexual intercourse with a loving woman (Priyāḥ Striyaḥ)."
Suppressible Urges (Dhāraṇīya Vegas),Causes of Diseases,LOW,General,Theoretical/Principle,"Sutra: धारयेतु सदा देगान् हितैशी प्रेत्य चेह च। लोभेष्यद्विषेमात्सर्यरागादीनां जितेन्द्रियः. Meaning: A self-controlled person should always suppress the urges for greed (Lobha), envy (Īrṣyā), hatred (Dveṣa), jealousy (Mātsarya), and attachment/passion (Rāga), among others."
Benefits of Cleansing (Saṃśodhana),Causes of Diseases,LOW,General,Theoretical/Principle,"Sutra: दोषाः कदाचित्कुप्यन्ति जिता लंघनपाचनैः । ये तु संशोधनैः शुद्धा न तेशां पुनरूद्भवः. Meaning: Doshas controlled by fasting (Laṅghana) or digestion-promoting (Pācana) therapies may recur. However, Doshas purified by cleansing therapies (Saṃśodhana) do not recur."
Path to Perfect Health,Causes of Diseases,LOW,General,Theoretical/Principle,"Sutra: नित्यं हिताहारविहारसेवी समीक्ष्यकारी विषयेष्वसक्तः । दाता समः सत्यपरः क्षमावा- नाप्तोपसेवी च भवत्यरोगः. Meaning: A person who follows beneficial food/lifestyle, acts after deliberation, is unattached to senses, is charitable, equanimous, truthful, forgiving, and serves the trustworthy remains free from disease (Arogaḥ)."
Qualities of Water (Gāṅga Ambu),Knowledge of Liquid Substances,LOW,General,Theoretical/Principle,"Sutra: जोवनं तर्पणं हृद्यं द्वादि बृद्धिप्रबोधनम्.... Meaning: Pure water (Gāṅga Ambu) sustains life (Jīvana), satisfies (Tarpaṇa), is beneficial for the heart (Hṛdya), is clear, has no perceptible taste, is sweet, cold (Śīta), light (Lagu), and beneficial like nectar."
Contraindications for Water Consumption (Patients),Knowledge of Liquid Substances,HIGH,"Kapha_Aggravating, Agni_Reducing",Dietary/Ahara,"Sutra: नम्बुपेयमशक्या वा स्वल्पमल्पाग्निगुल्मिभिः । पाण्डुदरातिसारार्शों ग्रहणीशोषशोथिभिः. Meaning: Water should not be drunk (or only a small amount if necessary) by patients with weak digestive fire (Alpāgni), Gulma, Anemia (Pāṇḍu), Abdominal Diseases (Udara), Diarrhea (Atisāra), Piles, Malabsorption (Grahaṇī), Consumption (Śoṣa), and Swelling (Śotha)."
Water Intake and Body Type,Knowledge of Liquid Substances,LOW,General,Dietary/Ahara,"Sutra: समस्थूलकृशा भुक्तमध्यान्तप्रथमाम्बुपाः. Meaning: Persons who drink water at the beginning of the meal become emaciated (Kṛśa), in the middle become well-proportioned (Sama), and at the end become obese (Sthūla)."
Qualities of Cold Water,Knowledge of Liquid Substances,LOW,Pitta_Pacifying,Dietary/Ahara,"Sutra: शीतं मदात्ययग्लानिमूर्छाच्छर्दिश्रमम्रमान् । तृष्णोष्रगदाहपित्तास्त्रविषाण्यम्बू नियच्छति. Meaning: Cold water (Śīta Ambu) cures alcoholism (Madātyaya), fatigue, fainting, vomiting, exhaustion, dizziness, increased thirst, heat, burning sensation (Dāha), bleeding disorders (Pittāsra), and poisoning."
Qualities of Hot Water,Knowledge of Liquid Substances,LOW,"Vāta_Pacifying, Kapha_Pacifying",Dietary/Ahara,"Sutra: दीपनं पाचनं कण्ठयं लघूष्णंवस्तिशोधनम् । हिध्माध्मानानिलश्लेश्मसद्यः शुद्धिनवज्वरे.... Meaning: Hot water (Uṣṇa Ambu) kindles digestive fire (Dīpana), aids digestion (Pācana), is good for the throat, light, warm, and cleanses the bladder. It is beneficial in hiccup, flatulence, Vāta and Kapha diseases, new fevers (Nava Jvara), cough, and shortness of breath."
Qualities of Boiled and Cooled Water,Knowledge of Liquid Substances,HIGH,Pitta_Pacifying,Dietary/Ahara,"Sutra: अनभिष्यन्दि लघु च तोयं क्वथितशीतलम् । पितयुक्ते हितं दोषे, व्युषितं तत्त्रिदोषकृत्. Meaning: Water that has been boiled and cooled is non-clogging and light. It is beneficial in Dosha combinations that include Pitta. Stale (Vyuṣita) boiled water aggravates the three Doshas."
Qualities of Cow's Milk (Gavya Payas),Knowledge of Liquid Substances,LOW,"Vāta_Pacifying, Pitta_Pacifying",Dietary/Ahara,"Sutra: अत्र गव्यं तु जीवनीयं रसायनम् । क्षतक्षीणहितं मेघ्यं बल्यं स्तन्यकरंसरम्. Meaning: Cow's milk is the best, life-giving (Jīvanīya), rejuvenative (Rasāyana), beneficial for the wounded, emaciated, and enhances intellect (Medhya). It is sweet, unctuous, pacifies Vāta and Pitta, and is heavy and cold."
Qualities of Buttermilk (Takra),Knowledge of Liquid Substances,LOW,"Vāta_Pacifying, Kapha_Pacifying",Dietary/Ahara,"Sutra: तक्रं लघु कषायाम्लं दीपनं कफवातजित् । शोफोदरार्शों ग्रहरणीदोषमूत्रग्रहारूचीः.... Meaning: Buttermilk is light (Lagu), astringent and sour, kindles the digestive fire (Dīpana), and conquers Kapha and Vāta. It is beneficial for swelling (Śōtha), abdominal diseases, piles, and Malabsorption (Grahaṇī)."
Qualities of Ghee (Ghṛta),Knowledge of Liquid Substances,LOW,"Vāta_Pacifying, Pitta_Pacifying",Dietary/Ahara,"Sutra: शस्तं धीस्मृतिमेधाग्निबलायुः शुक्रचक्षुषाम् । बालवृद्धप्रजाकान्तिसौकुमार्यस्वराथिनाम्. Meaning: Ghee is excellent for intellect, memory, digestive fire (Agni), strength, longevity, semen, and eyes. It is the best of all unctuous substances, extremely cold (Śītam), and the ultimate preserver of age."
Prohibition of Hot Honey,Knowledge of Liquid Substances,CRITICAL,General,Dietary/Ahara,"Sutra: उष्णमुष्णार्तमुष्णेचयुक्तं चोष्णैनिहन्ति तत्. Meaning: Honey heated on fire (Uṣṇaṃ), honey consumed by one afflicted by heat, honey consumed in the hot season, or honey mixed with hot substances causes death (Nihanti Tat). Exception: Hot honey is not prohibited for emetic (Vamana) or cleansing enema (Nirūhe) because it is quickly expelled."
Qualities of Oil (Taila) - General,Knowledge of Liquid Substances,LOW,Vāta_Pacifying,Theoretical/Principle,"Sutra: तैलं स्वयोनिवतत्र मुख्यं तीक्ष्णं व्यवायिच । त्वग्दोषकृदक्षुश्यं सूक्ष्मोष्णं कफकन्न च. Meaning: Oil (mainly Sesame) is sharp (Tīkṣṇa), pervasive, subtle, warm, and does not increase Kapha. It is fully capable of nourishing the emaciated and reducing the obese."
The Six Seasons (Ritūs),Ritucharya,LOW,General,Theoretical/Principle,"Sutra: मासैर्द्धिसंख्यैर्माद्याद्यैः क्रमात् शद्धृतवः स्मृताः। शिशिरोडथ वसन्तश्च ग्रीष्मो वर्शाशद्विमाः. Meaning: The six seasons, in sequence (beginning with Māgha), are: (1) Śiśira (Late Winter), (2) Vasanta (Spring), (3) Grīṣma (Summer), (4) Varṣā (Rainy), (5) Śarad (Autumn), and (6) Hemanta (Early Winter)."
Dosha Accumulation and Aggravation,Ritucharya,LOW,General,Theoretical/Principle,Analysis: Vāta accumulates in Grīṣma and aggravates in Prāvṛṭ (Early Monsoon). Pitta accumulates in Varṣā and aggravates in Śarad. Kapha accumulates in Hemanta and aggravates in Vasanta.
Ādāna Kāla (Northern Solstice),Ritucharya,LOW,General,Theoretical/Principle,"Sutra: शिशिराद्यास्त्रिभिस्तैस्तु विद्यादयनमुत्तरम् । आदानं च तदादत्ते नृणां प्रतिदिनं बलम्. Meaning: The three seasons starting with Śiśira (Śiśira, Vasanta, Grīṣma) are Uttarayana, called Ādāna Kāla (Taking Away Period) because the sun and dry wind destroy the earth's mild qualities, and it takes away human strength daily. Dominant Tastes: Bitter in Śiśira, Astringent in Vasanta, Pungent in Grīṣma."
Visarga Kāla (Southern Solstice),Ritucharya,LOW,General,Theoretical/Principle,"Sutra: वर्षादयो विसर्गश्च यद्वलं विसृजत्ययम् । सौम्यत्वादत्र सोमो हि बलवान् हीयते रविः. Meaning: The three seasons starting with Varṣā (Varṣā, Śarad, Hemanta) are Dakshinayana, called Visarga Kāla (Giving Away Period) because it releases (increases) strength in living beings. The Moon (Soma) is powerful, and the Sun is weak. Dominant Tastes: Sour, Salty, Sweet."
Seasonal Strength Variation,Ritucharya,LOW,General,Theoretical/Principle,Sutra: शीतेऽग्यं वृष्टिधर्मेऽल्पं बलं मध्यं तु शेषयोः. Meaning: Strength is Excellent (Uttama) during the cold season (Hemanta/Śiśira). Strength is Low (Alpa) during the rainy season and summer (Grīṣma). Strength is Moderate (Madhya) during the remaining two seasons (Śarad and Vasanta).
Hemanta Ṛtucaryā (Early Winter) - Diet,Ritucharya,LOW,Vāta_Pacifying,Dietary/Ahara,"Sutra: अतः श्रतो हिमेऽस्मिन्सेवेत स्वाद्वम्ललवरगान् रसान्. Meaning: Due to intense digestive fire (Agni), consume foods rich in the Sweet, Sour, and Salty tastes. Eat heavy (Gariṣṭha) and unctuous (Snigdha) foods like jaggery, wheat, black gram, milk products, new grains, fat, and oil."
Hemanta Ṛtucaryā (Early Winter) - Lifestyle,Ritucharya,LOW,Vāta_Pacifying,Lifestyle/Preventive,"Sutra: वातघ्नतैलैरम्यगं मूर्धिनं तैलं विमर्दनम् । नियुद्धं कुशलैः सार्द्धं पादाघातं च युक्तितः. Meaning: Practice oil massage (Abhyanga) with Vāta-pacifying oils on the head and body. Engage in wrestling (Niyuddha) and receive a foot massage. Use light, warm clothes and enclosed, heated rooms. Judiciously expose the back to the sun and always wear footwear."
Śiśira Ṛtucaryā (Late Winter),Ritucharya,LOW,Vāta_Pacifying,Lifestyle/Preventive,"Sutra: अयमेव विधिः कार्यः शिशिरेऽपि विशेषतः. Meaning: All the procedures of Hemanta Ṛtu should be followed, especially in Śiśira Ṛtu, as coldness and dryness (Raukṣya of Ādāna Kāla) increase."
Vasanta Ṛtucaryā (Spring) - Purification,Ritucharya,HIGH,Kapha_Pacifying,Lifestyle/Preventive,"Sutra: कफश्चितो हि शिशिरे वसन्तेऽर्काशुतापित.... Meaning: Kapha accumulated in Śiśira aggravates in Vasanta, destroying Agni and causing Kapha-born diseases. One should quickly conquer excessive Kapha by using strong Emetic (Vamana) and Nasal (Nasya) therapies."
Vasanta Ṛtucaryā (Spring) - Diet/Lifestyle,Ritucharya,LOW,Kapha_Pacifying,"Dietary/Ahara, Lifestyle/Preventive","Sutra: तीक्ष्णैर्वमननस्याद्यैर्लघुरुक्षैश्च भोजनैः... गुरूशीतदिवास्वप्नस्निग्धाम्लमधुरांस्त्यजेत्. Meaning: Consume light (Lagu) and dry (Rūkṣa) foods. Eat old barley/wheat, honey, meat from desert animals, and raw mango juice. Avoid heavy, cold, unctuous, sour, and sweet tastes. Avoid day sleep (Divāsvapna)."
Grīṣma Ṛtucaryā (Summer) - Diet,Ritucharya,LOW,"Vāta_Pacifying, Pitta_Pacifying",Dietary/Ahara,"Sutra: भजेन्मधुरमेवान्नं लघु स्निग्धं हिमं द्रवम्. Meaning: The sun's sharp rays waste Kapha and increase Vāyu. Consume only sweet-taste-dominant (Madhura), light (Lagu), unctuous (Snigdha), cold (Hima), and liquid (Drava) foods. Bathe with cold water and consume Sattu with jaggery/sugar. Avoid: Salty, Pungent, and Sour tastes. Do not consume alcohol, or if necessary, a very small amount mixed with much water."
Grīṣma Ṛtucaryā (Summer) - Avoidances,Ritucharya,LOW,"Vāta_Aggravating, Pitta_Aggravating",Lifestyle/Preventive,"Sutra: अतस्मिन्पटुकट्वम्लव्यायामार्क करांस्त्यजेत्. Meaning: Avoid Salty (Lavaṇa), Pungent (Kaṭu), and Sour (Amla) tastes, as well as exercise (Vyāyāma) and sun exposure (Ārka Kiraṇān)."
